game_id,date,round,region,seed,team,score,opponent_seed,opponent,opponent_score,overtime,score_diff,win,seed_id
0,1985-03-14,Round of 64,East,1,Georgetown,68,16,Lehigh,43,,25,1,1_16_fav
0,1985-03-14,Round of 64,East,16,Lehigh,43,1,Georgetown,68,,-25,0,1_16_dog
1,1985-03-14,Round of 64,East,4,"Loyola, Illinois",59,13,Iona,58,,1,1,4_13_fav
1,1985-03-14,Round of 64,East,13,Iona,58,4,"Loyola, Illinois",59,,-1,0,4_13_dog
2,1985-03-14,Round of 64,East,5,Southern Methodist,85,12,Old Dominion,68,,17,1,5_12_fav
2,1985-03-14,Round of 64,East,12,Old Dominion,68,5,Southern Methodist,85,,-17,0,5_12_dog
3,1985-03-14,Round of 64,East,9,Virginia Tech,57,8,Temple,60,,-3,0,8_9_dog
3,1985-03-14,Round of 64,East,8,Temple,60,9,Virginia Tech,57,,3,1,8_9_fav
4,1985-03-14,Round of 64,Midwest,16,North Carolina A&T,83,1,Oklahoma,96,,-13,0,1_16_dog
4,1985-03-14,Round of 64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,,13,1,1_16_fav
5,1985-03-14,Round of 64,Midwest,13,Iowa State,64,4,Ohio State,75,,-11,0,4_13_dog
5,1985-03-14,Round of 64,Midwest,4,Ohio State,75,13,Iowa State,64,,11,1,4_13_fav
6,1985-03-14,Round of 64,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54,,24,1,5_12_fav
6,1985-03-14,Round of 64,Midwest,12,Pittsburgh,54,5,Louisiana Tech,78,,-24,0,5_12_dog
7,1985-03-14,Round of 64,Midwest,8,Southern California,55,9,Illinois State,58,,-3,0,8_9_fav
7,1985-03-14,Round of 64,Midwest,9,Illinois State,58,8,Southern California,55,,3,1,8_9_dog
8,1985-03-14,Round of 64,Southeast,15,Middle Tennessee State,57,2,North Carolina,76,,-19,0,2_15_dog
8,1985-03-14,Round of 64,Southeast,2,North Carolina,76,15,Middle Tennessee State,57,,19,1,2_15_fav
9,1985-03-14,Round of 64,Southeast,14,Ohio,38,3,Kansas,49,,-11,0,3_14_dog
9,1985-03-14,Round of 64,Southeast,3,Kansas,49,14,Ohio,38,,11,1,3_14_fav
10,1985-03-14,Round of 64,Southeast,7,Notre Dame,79,10,Oregon State,70,,9,1,7_10_fav
10,1985-03-14,Round of 64,Southeast,10,Oregon State,70,7,Notre Dame,79,,-9,0,7_10_dog
11,1985-03-14,Round of 64,Southeast,6,Purdue,58,11,Auburn,59,,-1,0,6_11_fav
11,1985-03-14,Round of 64,Southeast,11,Auburn,59,6,Purdue,58,,1,1,6_11_dog
12,1985-03-14,Round of 64,West,16,Southern,59,1,"St. John's, New York",83,,-24,0,1_16_dog
12,1985-03-14,Round of 64,West,1,"St. John's, New York",83,16,Southern,59,,24,1,1_16_fav
13,1985-03-14,Round of 64,West,13,San Diego State,80,4,Nevada-Las Vegas,85,,-5,0,4_13_dog
13,1985-03-14,Round of 64,West,4,Nevada-Las Vegas,85,13,San Diego State,80,,5,1,4_13_fav
14,1985-03-14,Round of 64,West,9,Arkansas,63,8,Iowa,54,,9,1,8_9_dog
14,1985-03-14,Round of 64,West,8,Iowa,54,9,Arkansas,63,,-9,0,8_9_fav
15,1985-03-14,Round of 64,West,5,Washington,58,12,Kentucky,66,,-8,0,5_12_fav
15,1985-03-14,Round of 64,West,12,Kentucky,66,5,Washington,58,,8,1,5_12_dog
16,1985-03-15,Round of 64,East,2,Georgia Tech,65,15,Mercer,58,,7,1,2_15_fav
16,1985-03-15,Round of 64,East,15,Mercer,58,2,Georgia Tech,65,,-7,0,2_15_dog
17,1985-03-15,Round of 64,East,3,Illinois,76,14,Northeastern,57,,19,1,3_14_fav
17,1985-03-15,Round of 64,East,14,Northeastern,57,3,Illinois,76,,-19,0,3_14_dog
18,1985-03-15,Round of 64,East,6,Georgia,67,11,Wichita State,59,,8,1,6_11_fav
18,1985-03-15,Round of 64,East,11,Wichita State,59,6,Georgia,67,,-8,0,6_11_dog
19,1985-03-15,Round of 64,East,10,DePaul,65,7,Syracuse,70,,-5,0,7_10_dog
19,1985-03-15,Round of 64,East,7,Syracuse,70,10,DePaul,65,,5,1,7_10_fav
20,1985-03-15,Round of 64,Midwest,15,Pennsylvania,55,2,Memphis,67,,-12,0,2_15_dog
20,1985-03-15,Round of 64,Midwest,2,Memphis,67,15,Pennsylvania,55,,12,1,2_15_fav
21,1985-03-15,Round of 64,Midwest,3,Duke,75,14,Pepperdine,62,,13,1,3_14_fav
21,1985-03-15,Round of 64,Midwest,14,Pepperdine,62,3,Duke,75,,-13,0,3_14_dog
22,1985-03-15,Round of 64,Midwest,10,Michigan State,68,7,UAB,70,,-2,0,7_10_dog
22,1985-03-15,Round of 64,Midwest,7,UAB,70,10,Michigan State,68,,2,1,7_10_fav
23,1985-03-15,Round of 64,Midwest,11,Boston College,55,6,Texas Tech,53,,2,1,6_11_dog
23,1985-03-15,Round of 64,Midwest,6,Texas Tech,53,11,Boston College,55,,-2,0,6_11_fav
24,1985-03-15,Round of 64,Southeast,16,Fairleigh Dickinson,55,1,Michigan,59,,-4,0,1_16_dog
24,1985-03-15,Round of 64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,,4,1,1_16_fav
25,1985-03-15,Round of 64,Southeast,5,Maryland,69,12,"Miami, Ohio",68,1 OT,1,1,5_12_fav
25,1985-03-15,Round of 64,Southeast,12,"Miami, Ohio",68,5,Maryland,69,1 OT,-1,0,5_12_dog
26,1985-03-15,Round of 64,Southeast,8,Villanova,51,9,Dayton,49,,2,1,8_9_fav
26,1985-03-15,Round of 64,Southeast,9,Dayton,49,8,Villanova,51,,-2,0,8_9_dog
27,1985-03-15,Round of 64,Southeast,13,Navy,78,4,Louisiana State,55,,23,1,4_13_dog
27,1985-03-15,Round of 64,Southeast,4,Louisiana State,55,13,Navy,78,,-23,0,4_13_fav
28,1985-03-15,Round of 64,West,15,Marshall,65,2,Virginia Commonwealth,81,,-16,0,2_15_dog
28,1985-03-15,Round of 64,West,2,Virginia Commonwealth,81,15,Marshall,65,,16,1,2_15_fav
29,1985-03-15,Round of 64,West,14,Nevada,56,3,North Carolina State,65,,-9,0,3_14_dog
29,1985-03-15,Round of 64,West,3,North Carolina State,65,14,Nevada,56,,9,1,3_14_fav
30,1985-03-15,Round of 64,West,7,Alabama,50,10,Arizona,41,,9,1,7_10_fav
30,1985-03-15,Round of 64,West,10,Arizona,41,7,Alabama,50,,-9,0,7_10_dog
31,1985-03-15,Round of 64,West,6,Tulsa,75,11,Texas-El Paso,79,,-4,0,6_11_fav
31,1985-03-15,Round of 64,West,11,Texas-El Paso,79,6,Tulsa,75,,4,1,6_11_dog
32,1985-03-16,Round of 32,East,8,Temple,46,1,Georgetown,63,,-17,0,1_8_dog
32,1985-03-16,Round of 32,East,1,Georgetown,63,8,Temple,46,,17,1,1_8_fav
33,1985-03-16,Round of 32,East,5,Southern Methodist,57,4,"Loyola, Illinois",70,,-13,0,4_5_dog
33,1985-03-16,Round of 32,East,4,"Loyola, Illinois",70,5,Southern Methodist,57,,13,1,4_5_fav
34,1985-03-16,Round of 32,Midwest,9,Illinois State,69,1,Oklahoma,75,,-6,0,1_9_dog
34,1985-03-16,Round of 32,Midwest,1,Oklahoma,75,9,Illinois State,69,,6,1,1_9_fav
35,1985-03-16,Round of 32,Midwest,5,Louisiana Tech,79,4,Ohio State,67,,12,1,4_5_dog
35,1985-03-16,Round of 32,Midwest,4,Ohio State,67,5,Louisiana Tech,79,,-12,0,4_5_fav
36,1985-03-16,Round of 32,Southeast,2,North Carolina,60,7,Notre Dame,58,,2,1,2_7_fav
36,1985-03-16,Round of 32,Southeast,7,Notre Dame,58,2,North Carolina,60,,-2,0,2_7_dog
37,1985-03-16,Round of 32,Southeast,3,Kansas,64,11,Auburn,66,,-2,0,3_11_fav
37,1985-03-16,Round of 32,Southeast,11,Auburn,66,3,Kansas,64,,2,1,3_11_dog
38,1985-03-16,Round of 32,West,1,"St. John's, New York",68,9,Arkansas,65,,3,1,1_9_fav
38,1985-03-16,Round of 32,West,9,Arkansas,65,1,"St. John's, New York",68,,-3,0,1_9_dog
39,1985-03-16,Round of 32,West,12,Kentucky,64,4,Nevada-Las Vegas,61,,3,1,4_12_dog
39,1985-03-16,Round of 32,West,4,Nevada-Las Vegas,61,12,Kentucky,64,,-3,0,4_12_fav
40,1985-03-17,Round of 32,East,7,Syracuse,53,2,Georgia Tech,70,,-17,0,2_7_dog
40,1985-03-17,Round of 32,East,2,Georgia Tech,70,7,Syracuse,53,,17,1,2_7_fav
41,1985-03-17,Round of 32,East,6,Georgia,58,3,Illinois,74,,-16,0,3_6_dog
41,1985-03-17,Round of 32,East,3,Illinois,74,6,Georgia,58,,16,1,3_6_fav
42,1985-03-17,Round of 32,Midwest,7,UAB,66,2,Memphis,67,1 OT,-1,0,2_7_dog
42,1985-03-17,Round of 32,Midwest,2,Memphis,67,7,UAB,66,1 OT,1,1,2_7_fav
43,1985-03-17,Round of 32,Midwest,11,Boston College,74,3,Duke,73,,1,1,3_11_dog
43,1985-03-17,Round of 32,Midwest,3,Duke,73,11,Boston College,74,,-1,0,3_11_fav
44,1985-03-17,Round of 32,Southeast,13,Navy,59,5,Maryland,64,,-5,0,5_13_dog
44,1985-03-17,Round of 32,Southeast,5,Maryland,64,13,Navy,59,,5,1,5_13_fav
45,1985-03-17,Round of 32,Southeast,1,Michigan,55,8,Villanova,59,,-4,0,1_8_fav
45,1985-03-17,Round of 32,Southeast,8,Villanova,59,1,Michigan,55,,4,1,1_8_dog
46,1985-03-17,Round of 32,West,3,North Carolina State,86,11,Texas-El Paso,73,,13,1,3_11_fav
46,1985-03-17,Round of 32,West,11,Texas-El Paso,73,3,North Carolina State,86,,-13,0,3_11_dog
47,1985-03-17,Round of 32,West,7,Alabama,63,2,Virginia Commonwealth,59,,4,1,2_7_dog
47,1985-03-17,Round of 32,West,2,Virginia Commonwealth,59,7,Alabama,63,,-4,0,2_7_fav
48,1985-03-21,Sweet Sixteen,East,1,Georgetown,65,4,"Loyola, Illinois",53,,12,1,1_4_fav
48,1985-03-21,Sweet Sixteen,East,4,"Loyola, Illinois",53,1,Georgetown,65,,-12,0,1_4_dog
49,1985-03-21,Sweet Sixteen,East,2,Georgia Tech,61,3,Illinois,53,,8,1,2_3_fav
49,1985-03-21,Sweet Sixteen,East,3,Illinois,53,2,Georgia Tech,61,,-8,0,2_3_dog
50,1985-03-21,Sweet Sixteen,Midwest,1,Oklahoma,86,5,Louisiana Tech,84,1 OT,2,1,1_5_fav
50,1985-03-21,Sweet Sixteen,Midwest,5,Louisiana Tech,84,1,Oklahoma,86,1 OT,-2,0,1_5_dog
51,1985-03-21,Sweet Sixteen,Midwest,11,Boston College,57,2,Memphis,59,,-2,0,2_11_dog
51,1985-03-21,Sweet Sixteen,Midwest,2,Memphis,59,11,Boston College,57,,2,1,2_11_fav
52,1985-03-22,Sweet Sixteen,Southeast,11,Auburn,56,2,North Carolina,62,,-6,0,2_11_dog
52,1985-03-22,Sweet Sixteen,Southeast,2,North Carolina,62,11,Auburn,56,,6,1,2_11_fav
53,1985-03-22,Sweet Sixteen,Southeast,5,Maryland,43,8,Villanova,46,,-3,0,5_8_fav
53,1985-03-22,Sweet Sixteen,Southeast,8,Villanova,46,5,Maryland,43,,3,1,5_8_dog
54,1985-03-22,Sweet Sixteen,West,1,"St. John's, New York",86,12,Kentucky,70,,16,1,1_12_fav
54,1985-03-22,Sweet Sixteen,West,12,Kentucky,70,1,"St. John's, New York",86,,-16,0,1_12_dog
55,1985-03-22,Sweet Sixteen,West,3,North Carolina State,61,7,Alabama,55,,6,1,3_7_fav
55,1985-03-22,Sweet Sixteen,West,7,Alabama,55,3,North Carolina State,61,,-6,0,3_7_dog
56,1985-03-23,Elite Eight,East,1,Georgetown,60,2,Georgia Tech,54,,6,1,1_2_fav
56,1985-03-23,Elite Eight,East,2,Georgia Tech,54,1,Georgetown,60,,-6,0,1_2_dog
57,1985-03-23,Elite Eight,Midwest,2,Memphis,63,1,Oklahoma,61,,2,1,1_2_dog
57,1985-03-23,Elite Eight,Midwest,1,Oklahoma,61,2,Memphis,63,,-2,0,1_2_fav
58,1985-03-24,Elite Eight,Southeast,8,Villanova,56,2,North Carolina,44,,12,1,2_8_dog
58,1985-03-24,Elite Eight,Southeast,2,North Carolina,44,8,Villanova,56,,-12,0,2_8_fav
59,1985-03-24,Elite Eight,West,1,"St. John's, New York",69,3,North Carolina State,60,,9,1,1_3_fav
59,1985-03-24,Elite Eight,West,3,North Carolina State,60,1,"St. John's, New York",69,,-9,0,1_3_dog
60,1985-03-30,National Semifinals,National Semifinals,1,Georgetown,77,1,"St. John's, New York",59,,18,1,1_1
60,1985-03-30,National Semifinals,National Semifinals,1,"St. John's, New York",59,1,Georgetown,77,,-18,0,1_1
61,1985-03-30,National Semifinals,National Semifinals,2,Memphis,45,8,Villanova,52,,-7,0,2_8_fav
61,1985-03-30,National Semifinals,National Semifinals,8,Villanova,52,2,Memphis,45,,7,1,2_8_dog
62,1985-04-01,National Championship,National Championship,8,Villanova,66,1,Georgetown,64,,2,1,1_8_dog
62,1985-04-01,National Championship,National Championship,1,Georgetown,64,8,Villanova,66,,-2,0,1_8_fav
63,1986-03-13,Round of 64,East,1,Duke,85,16,Mississippi Valley,78,,7,1,1_16_fav
63,1986-03-13,Round of 64,East,16,Mississippi Valley,78,1,Duke,85,,-7,0,1_16_dog
64,1986-03-13,Round of 64,East,13,Northeastern,74,4,Oklahoma,80,,-6,0,4_13_dog
64,1986-03-13,Round of 64,East,4,Oklahoma,80,13,Northeastern,74,,6,1,4_13_fav
65,1986-03-13,Round of 64,East,8,Old Dominion,72,9,West Virginia,64,,8,1,8_9_fav
65,1986-03-13,Round of 64,East,9,West Virginia,64,8,Old Dominion,72,,-8,0,8_9_dog
66,1986-03-13,Round of 64,East,12,DePaul,72,5,Virginia,68,,4,1,5_12_dog
66,1986-03-13,Round of 64,East,5,Virginia,68,12,DePaul,72,,-4,0,5_12_fav
67,1986-03-13,Round of 64,Midwest,1,Kansas,71,16,North Carolina A&T,46,,25,1,1_16_fav
67,1986-03-13,Round of 64,Midwest,16,North Carolina A&T,46,1,Kansas,71,,-25,0,1_16_dog
68,1986-03-13,Round of 64,Midwest,4,Georgetown,70,13,Texas Tech,64,,6,1,4_13_fav
68,1986-03-13,Round of 64,Midwest,13,Texas Tech,64,4,Georgetown,70,,-6,0,4_13_dog
69,1986-03-13,Round of 64,Midwest,5,Michigan State,72,12,Washington,70,,2,1,5_12_fav
69,1986-03-13,Round of 64,Midwest,12,Washington,70,5,Michigan State,72,,-2,0,5_12_dog
70,1986-03-13,Round of 64,Midwest,9,Temple,61,8,Jacksonville,50,1 OT,11,1,8_9_dog
70,1986-03-13,Round of 64,Midwest,8,Jacksonville,50,9,Temple,61,1 OT,-11,0,8_9_fav
71,1986-03-13,Round of 64,Southeast,2,Georgia Tech,68,15,Marist,53,,15,1,2_15_fav
71,1986-03-13,Round of 64,Southeast,15,Marist,53,2,Georgia Tech,68,,-15,0,2_15_dog
72,1986-03-13,Round of 64,Southeast,14,Ball State,63,3,Memphis,95,,-32,0,3_14_dog
72,1986-03-13,Round of 64,Southeast,3,Memphis,95,14,Ball State,63,,32,1,3_14_fav
73,1986-03-13,Round of 64,Southeast,10,Villanova,71,7,Virginia Tech,62,,9,1,7_10_dog
73,1986-03-13,Round of 64,Southeast,7,Virginia Tech,62,10,Villanova,71,,-9,0,7_10_fav
74,1986-03-13,Round of 64,Southeast,11,Louisiana State,94,6,Purdue,87,2 OT,7,1,6_11_dog
74,1986-03-13,Round of 64,Southeast,6,Purdue,87,11,Louisiana State,94,2 OT,-7,0,6_11_fav
75,1986-03-13,Round of 64,West,2,Louisville,93,15,Drexel,73,,20,1,2_15_fav
75,1986-03-13,Round of 64,West,15,Drexel,73,2,Louisville,93,,-20,0,2_15_dog
76,1986-03-13,Round of 64,West,3,North Carolina,84,14,Utah,72,,12,1,3_14_fav
76,1986-03-13,Round of 64,West,14,Utah,72,3,North Carolina,84,,-12,0,3_14_dog
77,1986-03-13,Round of 64,West,11,Missouri,64,6,UAB,66,,-2,0,6_11_dog
77,1986-03-13,Round of 64,West,6,UAB,66,11,Missouri,64,,2,1,6_11_fav
78,1986-03-13,Round of 64,West,10,Texas-El Paso,65,7,Bradley,83,,-18,0,7_10_dog
78,1986-03-13,Round of 64,West,7,Bradley,83,10,Texas-El Paso,65,,18,1,7_10_fav
79,1986-03-14,Round of 64,East,2,Syracuse,101,15,Brown,52,,49,1,2_15_fav
79,1986-03-14,Round of 64,East,15,Brown,52,2,Syracuse,101,,-49,0,2_15_dog
80,1986-03-14,Round of 64,East,11,Richmond,59,6,"St. Joseph's, Pennsylvania",60,,-1,0,6_11_dog
80,1986-03-14,Round of 64,East,6,"St. Joseph's, Pennsylvania",60,11,Richmond,59,,1,1,6_11_fav
81,1986-03-14,Round of 64,East,7,Navy,87,10,Tulsa,68,,19,1,7_10_fav
81,1986-03-14,Round of 64,East,10,Tulsa,68,7,Navy,87,,-19,0,7_10_dog
82,1986-03-14,Round of 64,East,14,Cleveland State,83,3,Indiana,79,,4,1,3_14_dog
82,1986-03-14,Round of 64,East,3,Indiana,79,14,Cleveland State,83,,-4,0,3_14_fav
83,1986-03-14,Round of 64,Midwest,2,Michigan,70,15,Akron,64,,6,1,2_15_fav
83,1986-03-14,Round of 64,Midwest,15,Akron,64,2,Michigan,70,,-6,0,2_15_dog
84,1986-03-14,Round of 64,Midwest,6,North Carolina State,66,11,Iowa,64,,2,1,6_11_fav
84,1986-03-14,Round of 64,Midwest,11,Iowa,64,6,North Carolina State,66,,-2,0,6_11_dog
85,1986-03-14,Round of 64,Midwest,7,Iowa State,81,10,"Miami, Ohio",79,1 OT,2,1,7_10_fav
85,1986-03-14,Round of 64,Midwest,10,"Miami, Ohio",79,7,Iowa State,81,1 OT,-2,0,7_10_dog
86,1986-03-14,Round of 64,Midwest,14,Arkansas-Little Rock,90,3,Notre Dame,83,,7,1,3_14_dog
86,1986-03-14,Round of 64,Midwest,3,Notre Dame,83,14,Arkansas-Little Rock,90,,-7,0,3_14_fav
87,1986-03-14,Round of 64,Southeast,16,Davidson,55,1,Kentucky,75,,-20,0,1_16_dog
87,1986-03-14,Round of 64,Southeast,1,Kentucky,75,16,Davidson,55,,20,1,1_16_fav
88,1986-03-14,Round of 64,Southeast,13,Fairfield,51,4,Illinois,75,,-24,0,4_13_dog
88,1986-03-14,Round of 64,Southeast,4,Illinois,75,13,Fairfield,51,,24,1,4_13_fav
89,1986-03-14,Round of 64,Southeast,12,"Xavier, Ohio",80,5,Alabama,97,,-17,0,5_12_dog
89,1986-03-14,Round of 64,Southeast,5,Alabama,97,12,"Xavier, Ohio",80,,17,1,5_12_fav
90,1986-03-14,Round of 64,Southeast,8,Western Kentucky,67,9,Nebraska,59,,8,1,8_9_fav
90,1986-03-14,Round of 64,Southeast,9,Nebraska,59,8,Western Kentucky,67,,-8,0,8_9_dog
91,1986-03-14,Round of 64,West,16,Montana State,74,1,"St. John's, New York",83,,-9,0,1_16_dog
91,1986-03-14,Round of 64,West,1,"St. John's, New York",83,16,Montana State,74,,9,1,1_16_fav
92,1986-03-14,Round of 64,West,4,Nevada-Las Vegas,74,13,Louisiana-Monroe,51,,23,1,4_13_fav
92,1986-03-14,Round of 64,West,13,Louisiana-Monroe,51,4,Nevada-Las Vegas,74,,-23,0,4_13_dog
93,1986-03-14,Round of 64,West,5,Maryland,69,12,Pepperdine,64,,5,1,5_12_fav
93,1986-03-14,Round of 64,West,12,Pepperdine,64,5,Maryland,69,,-5,0,5_12_dog
94,1986-03-14,Round of 64,West,8,Auburn,73,9,Arizona,63,,10,1,8_9_fav
94,1986-03-14,Round of 64,West,9,Arizona,63,8,Auburn,73,,-10,0,8_9_dog
95,1986-03-15,Round of 32,East,8,Old Dominion,61,1,Duke,89,,-28,0,1_8_dog
95,1986-03-15,Round of 32,East,1,Duke,89,8,Old Dominion,61,,28,1,1_8_fav
96,1986-03-15,Round of 32,East,4,Oklahoma,69,12,DePaul,74,,-5,0,4_12_fav
96,1986-03-15,Round of 32,East,12,DePaul,74,4,Oklahoma,69,,5,1,4_12_dog
97,1986-03-15,Round of 32,Midwest,9,Temple,43,1,Kansas,65,,-22,0,1_9_dog
97,1986-03-15,Round of 32,Midwest,1,Kansas,65,9,Temple,43,,22,1,1_9_fav
98,1986-03-15,Round of 32,Midwest,4,Georgetown,68,5,Michigan State,80,,-12,0,4_5_fav
98,1986-03-15,Round of 32,Midwest,5,Michigan State,80,4,Georgetown,68,,12,1,4_5_dog
99,1986-03-15,Round of 32,Southeast,2,Georgia Tech,66,10,Villanova,61,,5,1,2_10_fav
99,1986-03-15,Round of 32,Southeast,10,Villanova,61,2,Georgia Tech,66,,-5,0,2_10_dog
100,1986-03-15,Round of 32,Southeast,11,Louisiana State,83,3,Memphis,81,,2,1,3_11_dog
100,1986-03-15,Round of 32,Southeast,3,Memphis,81,11,Louisiana State,83,,-2,0,3_11_fav
101,1986-03-15,Round of 32,West,2,Louisville,82,7,Bradley,68,,14,1,2_7_fav
101,1986-03-15,Round of 32,West,7,Bradley,68,2,Louisville,82,,-14,0,2_7_dog
102,1986-03-15,Round of 32,West,3,North Carolina,77,6,UAB,59,,18,1,3_6_fav
102,1986-03-15,Round of 32,West,6,UAB,59,3,North Carolina,77,,-18,0,3_6_dog
103,1986-03-16,Round of 32,East,2,Syracuse,85,7,Navy,97,,-12,0,2_7_fav
103,1986-03-16,Round of 32,East,7,Navy,97,2,Syracuse,85,,12,1,2_7_dog
104,1986-03-16,Round of 32,East,6,"St. Joseph's, Pennsylvania",69,14,Cleveland State,75,,-6,0,6_14_fav
104,1986-03-16,Round of 32,East,14,Cleveland State,75,6,"St. Joseph's, Pennsylvania",69,,6,1,6_14_dog
105,1986-03-16,Round of 32,Midwest,14,Arkansas-Little Rock,66,6,North Carolina State,80,2 OT,-14,0,6_14_dog
105,1986-03-16,Round of 32,Midwest,6,North Carolina State,80,14,Arkansas-Little Rock,66,2 OT,14,1,6_14_fav
106,1986-03-16,Round of 32,Midwest,7,Iowa State,72,2,Michigan,69,,3,1,2_7_dog
106,1986-03-16,Round of 32,Midwest,2,Michigan,69,7,Iowa State,72,,-3,0,2_7_fav
107,1986-03-16,Round of 32,Southeast,8,Western Kentucky,64,1,Kentucky,71,,-7,0,1_8_dog
107,1986-03-16,Round of 32,Southeast,1,Kentucky,71,8,Western Kentucky,64,,7,1,1_8_fav
108,1986-03-16,Round of 32,Southeast,5,Alabama,58,4,Illinois,56,,2,1,4_5_dog
108,1986-03-16,Round of 32,Southeast,4,Illinois,56,5,Alabama,58,,-2,0,4_5_fav
109,1986-03-16,Round of 32,West,5,Maryland,64,4,Nevada-Las Vegas,70,,-6,0,4_5_dog
109,1986-03-16,Round of 32,West,4,Nevada-Las Vegas,70,5,Maryland,64,,6,1,4_5_fav
110,1986-03-16,Round of 32,West,8,Auburn,81,1,"St. John's, New York",65,,16,1,1_8_dog
110,1986-03-16,Round of 32,West,1,"St. John's, New York",65,8,Auburn,81,,-16,0,1_8_fav
111,1986-03-20,Sweet Sixteen,Southeast,1,Kentucky,68,5,Alabama,63,,5,1,1_5_fav
